start_pos,n_gram_size,word,vicinity,neighbour,context,level,author_id,text_name,url
122117,6,успело,энбхн_УСПЕЛО_покос,покос,"учениковъ, слушавшихъ преимущественно его лекціи о Присціанѣ ",word,abeljar_p,text_1902_historia_calamitatum-oldorfo,http://az.lib.ru/a/abeljar_p/text_1902_historia_calamitatum-oldorfo.shtml
248045,6,сноски,поспи_СНОСКИ_ктлэк,поспи,сразу назвалось: оно стало книгой. И кто-то лис,word,abelxdjaew_d_a,text_1915_ten_veka_sego_oldorfo,http://az.lib.ru/a/abelxdjaew_d_a/text_1915_ten_veka_sego_oldorfo.shtml
122117,6,успело,энбхн_УСПЕЛО_покос,покос,"учениковъ, слушавшихъ преимущественно его лекціи о Присціанѣ ",word,abeljar_p,text_1902_historia_calamitatum-oldorfo,http://az.lib.ru/a/abeljar_p/text_1902_historia_calamitatum-oldorfo.shtml
248045,6,сноски,поспи_СНОСКИ_ктлэк,поспи,сразу назвалось: оно стало книгой. И кто-то лис,word,abelxdjaew_d_a,text_1915_ten_veka_sego_oldorfo,http://az.lib.ru/a/abelxdjaew_d_a/text_1915_ten_veka_sego_oldorfo.shtml
122117,6,успело,энбхн_УСПЕЛО_покос,покос,"учениковъ, слушавшихъ преимущественно его лекціи о Присціанѣ ",word,abeljar_p,text_1902_historia_calamitatum-oldorfo,http://az.lib.ru/a/abeljar_p/text_1902_historia_calamitatum-oldorfo.shtml
248045,6,сноски,поспи_СНОСКИ_ктлэк,поспи,сразу назвалось: оно стало книгой. И кто-то лис,word,abelxdjaew_d_a,text_1915_ten_veka_sego_oldorfo,http://az.lib.ru/a/abelxdjaew_d_a/text_1915_ten_veka_sego_oldorfo.shtml
9968,6,донеси,птоив_ДОНЕСИ_длину,длину,"дурнаго обращенія нанимателя, его семейства и довѣренных",word,abramow_j_w,text_1884_03_vnutr_obozrenie_oldorfo,http://az.lib.ru/a/abramow_j_w/text_1884_03_vnutr_obozrenie_oldorfo.shtml
302375,7,подписи,сктвк_ПОДПИСИ_етово,етово,"пространстве, оставив далеко позади и снаряд и его трассу",word,adamow_g,text_0040,http://az.lib.ru/a/adamow_g/text_0040.shtml
23027,6,оботри,излом_ОБОТРИ_вгсшп,излом,"отъ берега отплывъ, Теченіемъ рѣки и вѣтрами го",word,afanasxew_l_n,text_1900_poe_oldorfo,http://az.lib.ru/a/afanasxew_l_n/text_1900_poe_oldorfo.shtml
122117,6,успело,энбхн_УСПЕЛО_покос,покос,"учениковъ, слушавшихъ преимущественно его лекціи о Присціанѣ ",word,abeljar_p,text_1902_historia_calamitatum-oldorfo,http://az.lib.ru/a/abeljar_p/text_1902_historia_calamitatum-oldorfo.shtml
