,start_pos,n_gram_size,word,vicinity,context,level,source_file
0,6306,5,виски,тавчс_ВИСКИ_ббмдо,"вод; и сделалась кровь"".


2


      Итак, был белый, мохнатый декабрь. Он стремительно подходилкпол",word,belaya_gvardiya_bulgakov_1925.txt
1,34929,5,следа,мсктз_СЛЕДА_лповз,"сизые леса есть дохлятину, а людившароварах притащились обратно, вслед за немцами. Это был большой с",word,belaya_gvardiya_bulgakov_1925.txt
2,36202,5,криво,чтосп_КРИВО_втскн,"каждом разговореополитике и, в особенности, в тех случаях, когда Николка совершенно бестактно начина",word,belaya_gvardiya_bulgakov_1925.txt
3,44514,5,давил,бнвчд_ДАВИЛ_бнбвд,"дня, а Василия Ивановича Лисовича больше не было. Вначале двор номера тринадцатого, а за двором весь",word,belaya_gvardiya_bulgakov_1925.txt
4,101138,5,строг,игпкн_СТРОГ_пнмдч,"с, такой реформы обожаемый гетман произвести не мог. Даиникакой черт ее не произведет.
      Были то",word,belaya_gvardiya_bulgakov_1925.txt
5,108666,5,тоска,пщмсс_ТОСКА_впнтс,"тьме. Он смущенно крякнул, а вахмистр продолжал:
      - Ну те-с, сейчас это ониговорит - доложим. О",word,belaya_gvardiya_bulgakov_1925.txt
6,112549,5,когда,нржсг_КОГДА_птягт,"Кругло объяснил, господин доктор? а? ""Попы-то"", - я говорю... Тут онирукой махнул: ""Ты мне, говорит,",word,belaya_gvardiya_bulgakov_1925.txt
7,163025,5,оного,нсннб_ОНОГО_бфпон,"он не отрывал глаз от белоголовой фигурки, пока она не исчезла внизу. Пустая тоска овладела Турбиным",word,belaya_gvardiya_bulgakov_1925.txt
8,166163,5,будто,дпкбу_БУДТО_кпвку,"бу-у...
      - Довольно.
      Турбин опустил крышку парты, вышелвкоридоримимо караулов ушел через ",word,belaya_gvardiya_bulgakov_1925.txt
9,168712,5,новом,чнпдт_НОВОМ_снстп,нечего. Одно всего освещенное место: стоит на страшном тяжелом постаменте уже сто лет чугунный черны,word,belaya_gvardiya_bulgakov_1925.txt
