start_pos,n_gram_size,word,vicinity,neighbour,context,level,author_id,text_name,url
122117,6,успело,энбхн_УСПЕЛО_покос,покос,"учениковъ, слушавшихъ преимущественно его лекціи о Присціанѣ ",word,abeljar_p,text_1902_historia_calamitatum-oldorfo,http://az.lib.ru/a/abeljar_p/text_1902_historia_calamitatum-oldorfo.shtml
248045,6,сноски,поспи_СНОСКИ_ктлэк,поспи,сразу назвалось: оно стало книгой. И кто-то лис,word,abelxdjaew_d_a,text_1915_ten_veka_sego_oldorfo,http://az.lib.ru/a/abelxdjaew_d_a/text_1915_ten_veka_sego_oldorfo.shtml
9968,6,донеси,птоив_ДОНЕСИ_длину,длину,"дурнаго обращенія нанимателя, его семейства и довѣренных",word,abramow_j_w,text_1884_03_vnutr_obozrenie_oldorfo,http://az.lib.ru/a/abramow_j_w/text_1884_03_vnutr_obozrenie_oldorfo.shtml
302375,7,подписи,сктвк_ПОДПИСИ_етово,етово,"пространстве, оставив далеко позади и снаряд и его трассу",word,adamow_g,text_0040,http://az.lib.ru/a/adamow_g/text_0040.shtml
23027,6,оботри,излом_ОБОТРИ_вгсшп,излом,"отъ берега отплывъ, Теченіемъ рѣки и вѣтрами го",word,afanasxew_l_n,text_1900_poe_oldorfo,http://az.lib.ru/a/afanasxew_l_n/text_1900_poe_oldorfo.shtml
712727,6,сманил,аполi_СМАНИЛ_смани,смани," С. 123, 126. Мая 26 Дарственная надпись А. А. на сб. ""Из шести книг"": ""Милой Сусанне Яковлевне Хлопониной с искренним приветом"". -- Лесман. С. 32. Ма",sentence,ahmatowa_a_a,text_2008_letopis_zhizni_i_tvorchestva_anny_akhmatovoy,http://az.lib.ru/a/ahmatowa_a_a/text_2008_letopis_zhizni_i_tvorchestva_anny_akhmatovoy.shtml
389467,6,ваксит,нптнм_ВАКСИТ_крипа,крипа,"в альбом: ""Как страшно изменилось тело, Как рот из",word,ahmatowa_a_a,text_2008_letopis_zhizni_i_tvorchestva_anny_akhmatovoy,http://az.lib.ru/a/ahmatowa_a_a/text_2008_letopis_zhizni_i_tvorchestva_anny_akhmatovoy.shtml
20785,6,поведи,повед_ПОВЕДИ_опспв,повед,"притворялись окна в его душе, и он потемне",word,ajhenwalxd_j_i,text_0105,http://az.lib.ru/a/ajhenwalxd_j_i/text_0105.shtml
58193,6,виснув,чакон_ВИСНУВ_обовч,чакон,"видит, или сомнительного наказания, угрожающего в отдаленном",word,akosta_u,text_1923_sobre_a_mortalidade,http://az.lib.ru/a/akosta_u/text_1923_sobre_a_mortalidade.shtml
213942,6,спесив,пенса_СПЕСИВ_иевде,пенса,"святою, подобающею ему славою, и во имя его, в",word,aksakow_i_s,text_1878_rechi_oldorfo,http://az.lib.ru/a/aksakow_i_s/text_1878_rechi_oldorfo.shtml
